Case ID,Label,Cumduration_6_L,Cumduration_6_M,Cumduration_6_S,Cumduration_6_LL,Cumduration_7_L,Cumduration_7_M,Cumduration_7_S,Cumduration_7_LL,Cumduration_2_M,Cumduration_2_L,Cumduration_2_S,Cumduration_2_LL,Cumduration_5_L,Cumduration_5_M,Cumduration_5_S,Cumduration_5_LL,Duration_3_LL,Duration_3_M,Duration_3_L,Cumduration_3_L,Cumduration_3_LL,Cumduration_3_M,Cumduration_3_S,Cumduration_4_L,Cumduration_4_LL,Cumduration_4_M,Cumduration_4_S,Duration_4_M,Duration_4_LL,Duration_4_L,Duration_5_M,Duration_5_L,Duration_5_LL,Duration_8_M,Duration_8_L,Duration_8_LL,Duration_7_M,Duration_7_L,Duration_7_LL,Cumduration_8_L,Cumduration_8_M,Cumduration_8_S,Cumduration_8_LL,Duration_2_M,Duration_2_L,Duration_2_S,Duration_2_LL,Duration_6_M,Duration_6_L,Duration_6_LL
2771451,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6299700000000001,0.37002999999999986,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22454000000000107,0.7754599999999989,0.0,0.0,0.9786500000000009,0.021349999999999092,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6299700000000001,0.37002999999999986,0.0,0.0,1.0,0.0,0.0
2782209,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9170700000000007,0.08292999999999928,0.0
2783345,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3335100000000004,0.6664899999999996,0.0,0.6773999999999996,0.32260000000000044,0.0,0.22542000000000062,0.7745799999999994,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28106000000000186,0.7189399999999981
2794023,0,0.0,0.9389400000000001,0.06105999999999989,0.0,0.0,0.9076200000000001,0.0923799999999999,0.0,0.9702599999999997,0.0,0.02974000000000032,0.0,0.0,0.9462300000000003,0.05376999999999965,0.0,0.0,1.0,0.0,0.0,0.0,0.9587399999999997,0.041260000000000296,0.0,0.0,0.9813299999999998,0.018670000000000186,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.83859,0.16141000000000005,0.0,0.9702599999999997,0.0,0.02974000000000032,0.0,1.0,0.0,0.0
2797217,0,0.0,0.9661200000000001,0.03387999999999991,0.0,0.0,0.9013199999999997,0.09868000000000032,0.0,0.6305100000000001,0.0,0.3694899999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.9898800000000003,0.010119999999999685,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8327400000000003,0.16725999999999974,0.0,0.6305100000000001,0.0,0.3694899999999999,0.0,1.0,0.0,0.0
2802160,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.95343,0.04657,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2814003,0,0.05386000000000024,0.9461399999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.6245700000000003,0.3754299999999997,0.0,0.0,0.24411999999999967,0.7558800000000003,0.0,0.0,0.0,1.0,0.0,0.16779999999999973,0.0,0.8322000000000003,0.0,0.015339999999999243,0.0,0.9846600000000008,0.0,1.0,0.0,0.0,0.7683,0.23170000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6245700000000003,0.3754299999999997,0.0,0.0,1.0,0.0,0.0
2817543,1,0.0,0.9642299999999997,0.0357700000000003,0.0,0.0,0.8994299999999997,0.10057000000000027,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.83094,0.16906,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2825088,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9822299999999999,0.0,0.017770000000000064,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.96882,0.031179999999999986,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9822299999999999,0.0,0.017770000000000064,0.0,1.0,0.0,0.0
2830183,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.88809,0.11190999999999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.009219999999999118,0.0,0.9907800000000009,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.88809,0.11190999999999995,0.0,0.0,1.0,0.0,0.0
