Antecedents,Consequent,Support
['(case) requestcomplete_False'],Label_1,0.79412
"['(case) requestcomplete_False', 'Duration_3_M']",Label_1,0.79069
"['(case) requestcomplete_False', 'Cumduration_2_M']",Label_1,0.70599
"['(case) requestcomplete_False', 'Duration_2_M']",Label_1,0.70599
"['(case) requestcomplete_False', 'Duration_4_M']",Label_1,0.77652
"['(case) requestcomplete_False', 'Cumduration_3_M']",Label_1,0.71431
"['(case) requestcomplete_False', 'Activity1_register submission date request']",Label_1,0.78431
"['(case) requestcomplete_False', 'Cumduration_4_M']",Label_1,0.73661
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Duration_2_M']",Label_1,0.70599
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Duration_3_M']",Label_1,0.78097
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_3_M']",Label_1,0.71431
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Cumduration_3_M']",Label_1,0.7031
"['(case) requestcomplete_False', 'Cumduration_4_M', 'Duration_3_M']",Label_1,0.73426
"['(case) requestcomplete_False', 'Duration_3_M', 'Duration_4_M']",Label_1,0.7731
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M']",Label_1,0.70599
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Duration_2_M']",Label_1,0.7031
"['(case) requestcomplete_False', 'Cumduration_4_M', 'Duration_4_M']",Label_1,0.73315
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Duration_3_M']",Label_1,0.71431
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_4_M']",Label_1,0.73482
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Duration_4_M']",Label_1,0.76672
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Duration_3_M']",Label_1,0.70386
"['(case) requestcomplete_False', 'Duration_2_M', 'Duration_3_M']",Label_1,0.70386
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Cumduration_4_M']",Label_1,0.70321
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Duration_4_M']",Label_1,0.70124
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Duration_2_M']",Label_1,0.70599
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Cumduration_3_M', 'Duration_2_M']",Label_1,0.7031
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Cumduration_4_M', 'Duration_3_M']",Label_1,0.70321
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.70124
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Duration_2_M', 'Duration_3_M']",Label_1,0.70386
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M', 'Duration_3_M']",Label_1,0.70386
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_4_M', 'Duration_3_M']",Label_1,0.73247
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Duration_3_M', 'Duration_4_M']",Label_1,0.76338
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Cumduration_3_M', 'Duration_3_M']",Label_1,0.7031
"['(case) requestcomplete_False', 'Cumduration_4_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.7308
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_4_M', 'Duration_4_M']",Label_1,0.73136
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_3_M', 'Cumduration_4_M']",Label_1,0.70321
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_3_M', 'Duration_4_M']",Label_1,0.70124
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_3_M', 'Duration_3_M']",Label_1,0.71431
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M', 'Cumduration_3_M']",Label_1,0.7031
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M', 'Duration_2_M']",Label_1,0.70599
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_3_M', 'Duration_2_M']",Label_1,0.7031
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Duration_2_M', 'Duration_3_M']",Label_1,0.70386
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Duration_2_M', 'Duration_3_M']",Label_1,0.7031
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M', 'Duration_2_M', 'Duration_3_M']",Label_1,0.70386
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_4_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.72901
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M', 'Cumduration_3_M', 'Duration_2_M']",Label_1,0.7031
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Cumduration_3_M', 'Duration_2_M', 'Duration_3_M']",Label_1,0.7031
