Case ID,Label,Cumduration_2_M,Cumduration_2_L,Cumduration_2_S,Cumduration_2_LL,Duration_2_M,Duration_2_L,Duration_2_S,Duration_2_LL,Cumduration_3_M,Cumduration_3_L,Cumduration_3_LL,Cumduration_3_S,Duration_3_M,Duration_3_LL,Duration_3_L
2742737,0,0.2951699999999997,0.7048300000000003,0.0,0.0,0.2951699999999997,0.7048300000000003,0.0,0.0,0.5433000000000012,0.4566999999999988,0.0,0.0,1.0,0.0,0.0
2771451,1,0.6203399999999997,0.37966000000000033,0.0,0.0,0.6203399999999997,0.37966000000000033,0.0,0.0,0.0,0.2039300000000006,0.7960699999999994,0.0,0.0,1.0,0.0
2782209,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2783345,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2794023,0,0.9662999999999999,0.0,0.03370000000000006,0.0,0.9662999999999999,0.0,0.03370000000000006,0.0,0.95532,0.0,0.0,0.04468000000000005,1.0,0.0,0.0
2797217,0,0.62331,0.0,0.37668999999999997,0.0,0.62331,0.0,0.37668999999999997,0.0,1.0,0.0,0.0,0.0,0.9825900000000001,0.0,0.017409999999999926
2802160,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2814003,0,0.6148499999999997,0.3851500000000003,0.0,0.0,0.6148499999999997,0.3851500000000003,0.0,0.0,0.8235600000000005,0.1764399999999995,0.0,0.0,1.0,0.0,0.0
2817543,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2824783,0,0.8423699999999998,0.0,0.15763000000000016,0.0,0.8423699999999998,0.0,0.15763000000000016,0.0,0.8489399999999998,0.0,0.0,0.1510600000000002,1.0,0.0,0.0
2825088,0,0.9783599999999999,0.0,0.021640000000000104,0.0,0.9783599999999999,0.0,0.021640000000000104,0.0,0.9655800000000001,0.0,0.0,0.034419999999999895,1.0,0.0,0.0
2830183,0,0.88089,0.11911000000000005,0.0,0.0,0.88089,0.11911000000000005,0.0,0.0,0.98367,0.016329999999999956,0.0,0.0,1.0,0.0,0.0
2831567,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2832460,0,0.7557,0.0,0.24429999999999996,0.0,0.7557,0.0,0.24429999999999996,0.0,0.84165,0.0,0.0,0.15835,1.0,0.0,0.0
