Case ID,Label,Cumduration_6_L,Cumduration_6_M,Cumduration_6_S,Cumduration_6_LL,Cumduration_7_L,Cumduration_7_M,Cumduration_7_S,Cumduration_7_LL,Cumduration_2_M,Cumduration_2_L,Cumduration_2_S,Cumduration_2_LL,Duration_9_M,Duration_9_L,Duration_9_LL,Cumduration_5_L,Cumduration_5_M,Cumduration_5_S,Cumduration_5_LL,Duration_3_LL,Duration_3_M,Duration_3_L,Cumduration_3_L,Cumduration_3_LL,Cumduration_3_M,Cumduration_3_S,Cumduration_4_L,Cumduration_4_LL,Cumduration_4_M,Cumduration_4_S,Duration_4_M,Duration_4_LL,Duration_4_L,Duration_5_M,Duration_5_L,Duration_5_LL,Duration_8_M,Duration_8_L,Duration_8_LL,Duration_7_M,Duration_7_L,Duration_7_LL,Cumduration_8_L,Cumduration_8_M,Cumduration_8_S,Cumduration_8_LL,Cumduration_9_L,Cumduration_9_M,Cumduration_9_S,Cumduration_9_LL,Duration_2_M,Duration_2_L,Duration_2_S,Duration_2_LL,Duration_6_M,Duration_6_L,Duration_6_LL
2771451,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6121500000000006,0.38784999999999936,0.0,0.0,0.6127800000000008,0.38721999999999923,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21212000000000142,0.7878799999999986,0.0,0.0,0.9728900000000014,0.027109999999998635,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6121500000000006,0.38784999999999936,0.0,0.0,1.0,0.0,0.0
2782209,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9161700000000002,0.08382999999999985,0.0
2783345,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.33755999999999986,0.6624400000000001,0.0,0.6809099999999999,0.3190900000000001,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2834000000000012,0.7165999999999988
2794023,0,0.0,0.9451499999999999,0.054850000000000065,0.0,0.0,0.9156300000000002,0.08436999999999983,0.0,0.9799799999999999,0.0,0.02002000000000015,0.0,1.0,0.0,0.0,0.0,0.95208,0.04791999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.9675600000000002,0.0324399999999998,0.0,0.0,0.9881700000000002,0.011829999999999785,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.84552,0.15447999999999995,0.0,0.0,0.8068200000000001,0.1931799999999999,0.0,0.9799799999999999,0.0,0.02002000000000015,0.0,1.0,0.0,0.0
2797217,0,0.0,0.9723299999999999,0.027670000000000083,0.0,0.0,0.9091500000000003,0.09084999999999965,0.0,0.6377999999999999,0.0,0.3622000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9915899999999995,0.008410000000000473,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8395799999999998,0.16042000000000023,0.0,0.0,0.80124,0.19876000000000005,0.0,0.6377999999999999,0.0,0.3622000000000001,0.0,1.0,0.0,0.0
2802160,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9617999999999998,0.038200000000000234,0.0,0.0,0.9177,0.08230000000000004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2814003,0,0.059169999999999945,0.94083,0.0,0.0,0.0,1.0,0.0,0.0,0.6066600000000006,0.39333999999999936,0.0,0.0,1.0,0.0,0.0,0.24942999999999937,0.7505700000000006,0.0,0.0,0.0,1.0,0.0,0.18093999999999966,0.0,0.8190600000000003,0.0,0.022629999999999484,0.0,0.9773700000000005,0.0,1.0,0.0,0.0,0.7713599999999996,0.2286400000000004,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6066600000000006,0.39333999999999936,0.0,0.0,1.0,0.0,0.0
2817543,1,0.0,0.9703499999999998,0.029650000000000176,0.0,0.0,0.9072600000000004,0.0927399999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8377800000000004,0.1622199999999996,0.0,0.0,0.7994399999999997,0.2005600000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2825088,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9919500000000001,0.0,0.00804999999999989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9776400000000001,0.022359999999999935,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9919500000000001,0.0,0.00804999999999989,0.0,1.0,0.0,0.0
2830183,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8715300000000008,0.1284699999999992,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.021910000000000096,0.0,0.9780899999999999,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8715300000000008,0.1284699999999992,0.0,0.0,1.0,0.0,0.0
