Antecedents,Consequent,Support
['(case) requestcomplete_True'],Label_0,0.98217
"['(case) requestcomplete_True', 'Cumduration_6_M']",Label_0,0.85287
"['(case) requestcomplete_True', 'Duration_3_M']",Label_0,0.95327
"['(case) caseprocedure_None', 'Cumduration_2_M']",Label_0,0.80489
"['(case) requestcomplete_True', 'Duration_5_M']",Label_0,0.95071
"['(case) requestcomplete_True', 'Duration_2_M']",Label_0,0.842
"['(case) requestcomplete_True', 'Duration_6_M']",Label_0,0.95468
"['(case) caseprocedure_None', 'Cumduration_5_M']",Label_0,0.84082
"['(case) caseprocedure_None', 'Duration_2_M']",Label_0,0.80489
"['(case) caseprocedure_None', '(case) requestcomplete_True']",Label_0,0.9222
"['(case) requestcomplete_True', 'Activity1_register submission date request']",Label_0,0.9611
"['(case) requestcomplete_True', 'Duration_4_M']",Label_0,0.96516
"['(case) requestcomplete_True', 'Cumduration_2_M']",Label_0,0.842
"['(case) requestcomplete_True', 'Cumduration_4_M']",Label_0,0.89791
"['(case) caseprocedure_None', 'Cumduration_3_M']",Label_0,0.82242
"['(case) requestcomplete_True', 'Cumduration_5_M']",Label_0,0.87949
"['(case) requestcomplete_True', 'Cumduration_3_M']",Label_0,0.86053
"['(case) caseprocedure_None', 'Cumduration_6_M']",Label_0,0.81374
"['(case) caseprocedure_None', 'Cumduration_4_M']",Label_0,0.85798
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Cumduration_4_M']",Label_0,0.84978
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Cumduration_3_M']",Label_0,0.81606
"['(case) requestcomplete_True', 'Cumduration_6_M', 'Duration_3_M']",Label_0,0.83678
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_3_M']",Label_0,0.8519
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_5_M']",Label_0,0.92633
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Cumduration_5_M']",Label_0,0.87304
"['(case) caseprocedure_None', 'Cumduration_2_M', 'Duration_2_M']",Label_0,0.80489
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Cumduration_6_M']",Label_0,0.80229
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Duration_3_M']",Label_0,0.8258
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Cumduration_4_M']",Label_0,0.84573
"['(case) requestcomplete_True', 'Cumduration_6_M', 'Duration_6_M']",Label_0,0.84779
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Duration_5_M']",Label_0,0.81723
"['(case) caseprocedure_None', 'Cumduration_4_M', 'Duration_4_M']",Label_0,0.85576
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Cumduration_5_M']",Label_0,0.82891
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Cumduration_4_M']",Label_0,0.85048
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Cumduration_3_M']",Label_0,0.81055
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_6_M']",Label_0,0.84294
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_5_M']",Label_0,0.86999
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Cumduration_6_M']",Label_0,0.8104
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Duration_4_M']",Label_0,0.90781
"['(case) caseprocedure_None', 'Cumduration_5_M', 'Duration_6_M']",Label_0,0.81459
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Activity1_register submission date request']",Label_0,0.90438
"['(case) caseprocedure_None', 'Cumduration_4_M', 'Cumduration_5_M']",Label_0,0.835
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Cumduration_3_M']",Label_0,0.83473
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Duration_6_M']",Label_0,0.89471
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Cumduration_5_M']",Label_0,0.83331
"['(case) caseprocedure_None', 'Cumduration_6_M', 'Duration_4_M']",Label_0,0.81055
"['(case) caseprocedure_None', 'Cumduration_6_M', 'Duration_5_M']",Label_0,0.80389
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Duration_4_M']",Label_0,0.8287
"['(case) caseprocedure_None', 'Cumduration_4_M', 'Duration_6_M']",Label_0,0.83196
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Duration_4_M']",Label_0,0.89563
"['(case) requestcomplete_True', 'Cumduration_6_M', 'Duration_4_M']",Label_0,0.84967
"['(case) caseprocedure_None', 'Cumduration_3_M', 'Duration_3_M']",Label_0,0.80907
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Duration_5_M']",Label_0,0.87278
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Duration_3_M']",Label_0,0.89492
"['(case) caseprocedure_None', 'Cumduration_3_M', 'Duration_5_M']",Label_0,0.80172
"['(case) caseprocedure_None', 'Cumduration_3_M', 'Duration_4_M']",Label_0,0.81286
"['(case) caseprocedure_None', 'Cumduration_3_M', 'Cumduration_4_M']",Label_0,0.81421
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Duration_5_M']",Label_0,0.83704
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Cumduration_6_M']",Label_0,0.84485
"['(case) caseprocedure_None', 'Cumduration_4_M', 'Duration_3_M']",Label_0,0.84215
"['(case) caseprocedure_None', 'Cumduration_4_M', 'Duration_5_M']",Label_0,0.83471
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Duration_6_M']",Label_0,0.89179
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_4_M']",Label_0,0.94409
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_6_M']",Label_0,0.92469
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Duration_3_M']",Label_0,0.88208
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Duration_5_M']",Label_0,0.89398
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_5_M']",Label_0,0.86943
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_2_M']",Label_0,0.83334
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Duration_6_M']",Label_0,0.83782
"['(case) requestcomplete_True', 'Duration_2_M', 'Duration_4_M']",Label_0,0.8287
"['(case) caseprocedure_None', 'Cumduration_5_M', 'Duration_4_M']",Label_0,0.83873
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_6_M']",Label_0,0.85326
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_4_M']",Label_0,0.93863
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Duration_3_M']",Label_0,0.84718
"['(case) caseprocedure_None', 'Duration_5_M', 'Duration_6_M']",Label_0,0.88255
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Cumduration_6_M']",Label_0,0.8063
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Cumduration_6_M']",Label_0,0.84039
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_2_M']",Label_0,0.83334
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Duration_6_M']",Label_0,0.87189
"['(case) caseprocedure_None', 'Cumduration_3_M', 'Cumduration_5_M']",Label_0,0.8019
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Cumduration_4_M']",Label_0,0.82805
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Duration_2_M']",Label_0,0.83473
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Cumduration_5_M']",Label_0,0.83572
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Duration_6_M']",Label_0,0.82066
"['(case) requestcomplete_True', 'Cumduration_6_M', 'Duration_5_M']",Label_0,0.84301
"['(case) caseprocedure_None', 'Cumduration_4_M', 'Cumduration_6_M']",Label_0,0.80245
"['(case) requestcomplete_True', 'Duration_2_M', 'Duration_3_M']",Label_0,0.8258
"['(case) caseprocedure_None', 'Cumduration_6_M', 'Duration_6_M']",Label_0,0.80866
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_6_M']",Label_0,0.92647
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Cumduration_5_M']",Label_0,0.81325
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Duration_2_M']",Label_0,0.842
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_4_M']",Label_0,0.8774
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Duration_2_M']",Label_0,0.82805
"['(case) requestcomplete_True', 'Duration_2_M', 'Duration_6_M']",Label_0,0.82066
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_3_M']",Label_0,0.93772
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Duration_4_M']",Label_0,0.84881
"['(case) caseprocedure_None', 'Cumduration_5_M', 'Duration_5_M']",Label_0,0.83132
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_5_M']",Label_0,0.9303
"['(case) caseprocedure_None', 'Cumduration_5_M', 'Duration_3_M']",Label_0,0.82604
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_2_M']",Label_0,0.81325
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_5_M']",Label_0,0.93762
"['(case) caseprocedure_None', 'Duration_4_M', 'Duration_6_M']",Label_0,0.89528
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_4_M']",Label_0,0.88781
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_6_M']",Label_0,0.93804
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_6_M']",Label_0,0.93393
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_3_M']",Label_0,0.86471
"['(case) requestcomplete_True', 'Duration_2_M', 'Duration_5_M']",Label_0,0.81723
"['(case) caseprocedure_None', 'Cumduration_5_M', 'Cumduration_6_M']",Label_0,0.8063
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_5_M', 'Duration_6_M']",Label_0,0.90062
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Duration_3_M', 'Duration_6_M']",Label_0,0.80483
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Cumduration_4_M', 'Duration_5_M']",Label_0,0.80595
"['(case) caseprocedure_None', 'Cumduration_4_M', 'Duration_4_M', 'Duration_6_M']",Label_0,0.82974
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_6_M']",Label_0,0.80268
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Cumduration_4_M', 'Duration_6_M']",Label_0,0.82446
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Cumduration_6_M', 'Duration_4_M']",Label_0,0.80311
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_6_M', 'Duration_6_M']",Label_0,0.83786
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_2_M', 'Duration_5_M']",Label_0,0.8044
"['(case) caseprocedure_None', 'Cumduration_5_M', 'Duration_4_M', 'Duration_5_M']",Label_0,0.82923
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_6_M']",Label_0,0.8772
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_3_M', 'Duration_5_M']",Label_0,0.91144
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_4_M', 'Duration_5_M']",Label_0,0.8679
"['(case) caseprocedure_None', 'Cumduration_3_M', 'Cumduration_4_M', 'Cumduration_5_M']",Label_0,0.8005
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Cumduration_3_M', 'Duration_4_M']",Label_0,0.80099
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Duration_4_M', 'Duration_6_M']",Label_0,0.87777
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_2_M', 'Duration_3_M']",Label_0,0.8028
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_3_M', 'Duration_4_M']",Label_0,0.84018
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Cumduration_6_M', 'Duration_3_M']",Label_0,0.82701
