Case ID,Label,Cumduration_6_M,Cumduration_6_L,Cumduration_6_S,Cumduration_6_LL,Cumduration_2_M,Cumduration_2_L,Cumduration_2_S,Cumduration_2_LL,Cumduration_5_M,Cumduration_5_L,Cumduration_5_S,Cumduration_5_LL,Duration_3_M,Duration_3_LL,Duration_3_L,Cumduration_3_M,Cumduration_3_L,Cumduration_3_LL,Cumduration_3_S,Cumduration_4_M,Cumduration_4_L,Cumduration_4_S,Cumduration_4_LL,Duration_4_M,Duration_4_LL,Duration_4_L,Duration_5_M,Duration_5_L,Duration_5_LL,Duration_2_M,Duration_2_L,Duration_2_S,Duration_2_LL,Duration_6_M,Duration_6_L,Duration_6_LL
2742737,0,1.0,0.0,0.0,0.0,0.30453000000000063,0.6954699999999994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5515800000000004,0.4484199999999996,0.0,0.0,0.9991500000000002,0.0008499999999997954,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.30453000000000063,0.6954699999999994,0.0,0.0,1.0,0.0,0.0
2771451,1,0.0,1.0,0.0,0.0,0.6279900000000005,0.3720099999999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21707000000000054,0.7829299999999995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6279900000000005,0.3720099999999995,0.0,0.0,1.0,0.0,0.0
2782209,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9934799999999999,0.006520000000000081,0.0
2783345,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3268500000000012,0.6731499999999988,0.0,1.0,0.0,0.0,0.0,0.0,0.47312000000000154,0.5268799999999985
2794023,0,0.92868,0.0,0.07132000000000005,0.0,0.9668399999999999,0.0,0.03316000000000008,0.0,0.9407400000000004,0.0,0.059259999999999646,0.0,1.0,0.0,0.0,0.9558599999999999,0.0,0.0,0.04414000000000007,0.9765600000000001,0.0,0.023439999999999905,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9668399999999999,0.0,0.03316000000000008,0.0,1.0,0.0,0.0
2797217,0,0.95478,0.0,0.04522000000000004,0.0,0.6258300000000001,0.0,0.3741699999999999,0.0,1.0,0.0,0.0,0.0,0.9868200000000007,0.0,0.013179999999999303,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6258300000000001,0.0,0.3741699999999999,0.0,1.0,0.0,0.0
2802160,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2814003,0,1.0,0.0,0.0,0.0,0.6225900000000006,0.37740999999999936,0.0,0.0,0.8045700000000009,0.1954299999999991,0.0,0.0,1.0,0.0,0.0,0.8303100000000008,0.16968999999999923,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7631700000000006,0.23682999999999943,0.0,0.6225900000000006,0.37740999999999936,0.0,0.0,1.0,0.0,0.0
2817543,1,0.95289,0.0,0.047109999999999985,0.0,1.0,0.0,0.0,0.0,0.9981600000000004,0.0,0.0018399999999996197,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2824783,0,0.0,0.0,0.0,1.0,0.8436300000000001,0.0,0.1563699999999999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8501099999999999,0.0,0.0,0.14989000000000008,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8436300000000001,0.0,0.1563699999999999,0.0,1.0,0.0,0.0
