Case ID,Label,Cumduration_6_L,Cumduration_6_M,Cumduration_6_S,Cumduration_6_LL,Cumduration_7_L,Cumduration_7_M,Cumduration_7_S,Cumduration_7_LL,Cumduration_2_M,Cumduration_2_L,Cumduration_2_S,Cumduration_2_LL,Duration_9_M,Duration_9_L,Duration_9_LL,Cumduration_5_L,Cumduration_5_M,Cumduration_5_S,Cumduration_5_LL,Duration_3_LL,Duration_3_M,Duration_3_L,Cumduration_10_L,Cumduration_10_M,Cumduration_10_S,Cumduration_10_LL,Cumduration_3_L,Cumduration_3_LL,Cumduration_3_M,Cumduration_3_S,Cumduration_4_L,Cumduration_4_LL,Cumduration_4_M,Cumduration_4_S,Duration_4_M,Duration_4_LL,Duration_4_L,Duration_5_M,Duration_5_L,Duration_5_LL,Duration_8_M,Duration_8_L,Duration_8_LL,Duration_7_M,Duration_7_L,Duration_7_LL,Cumduration_8_L,Cumduration_8_M,Cumduration_8_S,Cumduration_8_LL,Cumduration_9_L,Cumduration_9_M,Cumduration_9_S,Cumduration_9_LL,Duration_10_M,Duration_10_L,Duration_10_LL,Duration_2_M,Duration_2_L,Duration_2_S,Duration_2_LL,Duration_6_M,Duration_6_L,Duration_6_LL
2771451,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6138600000000007,0.38613999999999926,0.0,0.0,0.6147600000000004,0.3852399999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21572000000000102,0.784279999999999,0.0,0.0,0.9761300000000013,0.023869999999998726,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6138600000000007,0.38613999999999926,0.0,0.0,1.0,0.0,0.0
2782209,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5880299999999998,0.41197000000000017,0.0,1.0,0.0,0.0,0.0,0.9179700000000004,0.0820299999999996,0.0
2783345,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.33243000000000045,0.6675699999999996,0.0,0.6832500000000001,0.31674999999999986,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28709000000000096,0.712909999999999
2794023,0,0.0,0.9470399999999999,0.05296000000000012,0.0,0.0,0.9172500000000001,0.08274999999999988,0.0,0.9805200000000003,0.0,0.01947999999999972,0.0,1.0,0.0,0.0,0.0,0.9544199999999998,0.045580000000000176,0.0,0.0,1.0,0.0,0.0,0.7786499999999998,0.22135000000000016,0.0,0.0,0.0,0.9678299999999997,0.032170000000000254,0.0,0.0,0.98889,0.011109999999999953,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.84687,0.15313,0.0,0.0,0.80817,0.19182999999999995,0.0,1.0,0.0,0.0,0.9805200000000003,0.0,0.01947999999999972,0.0,1.0,0.0,0.0
2797217,0,0.0,0.9742199999999999,0.025780000000000136,0.0,0.0,0.91086,0.08914,0.0,0.63897,0.0,0.36102999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9930300000000001,0.006969999999999921,0.0,0.7757700000000001,0.22422999999999993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8410199999999999,0.15898000000000012,0.0,0.0,0.8025899999999999,0.19741000000000009,0.0,1.0,0.0,0.0,0.63897,0.0,0.36102999999999996,0.0,1.0,0.0,0.0
2802160,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8999699999999997,0.10003000000000029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9629699999999999,0.03703000000000012,0.0,0.0,0.9188700000000001,0.08112999999999992,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2814003,0,0.05970999999999993,0.9402900000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.60846,0.39154,0.0,0.0,1.0,0.0,0.0,0.25050999999999934,0.7494900000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17923000000000044,0.0,0.8207699999999996,0.0,0.021729999999999805,0.0,0.9782700000000002,0.0,1.0,0.0,0.0,0.7663200000000003,0.23367999999999967,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.60846,0.39154,0.0,0.0,1.0,0.0,0.0
2817543,1,0.0,0.9723299999999999,0.027670000000000083,0.0,0.0,0.9089700000000001,0.09102999999999994,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7718999999999996,0.2281000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8392200000000001,0.16077999999999992,0.0,0.0,0.8007900000000001,0.1992099999999999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2825088,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9924900000000001,0.0,0.007509999999999906,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9780000000000002,0.021999999999999797,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9924900000000001,0.0,0.007509999999999906,0.0,1.0,0.0,0.0
2830183,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8728800000000003,0.12711999999999968,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9146199999999993,0.08538000000000068,0.0,0.0,0.020470000000000432,0.0,0.9795299999999996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4580000000000011,0.5419999999999989,0.8728800000000003,0.12711999999999968,0.0,0.0,1.0,0.0,0.0
