Case ID,Label,Cumduration_2_M,Cumduration_2_L,Cumduration_2_S,Cumduration_2_LL,Duration_2_M,Duration_2_L,Duration_2_S,Duration_2_LL
2742737,0,0.29408999999999974,0.7059100000000003,0.0,0.0,0.29408999999999974,0.7059100000000003,0.0,0.0
2771451,1,0.6196200000000003,0.3803799999999997,0.0,0.0,0.6196200000000003,0.3803799999999997,0.0,0.0
2782209,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2783345,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2794023,0,0.9653099999999997,0.0,0.03469000000000033,0.0,0.9653099999999997,0.0,0.03469000000000033,0.0
2797217,0,0.6218699999999999,0.0,0.3781300000000001,0.0,0.6218699999999999,0.0,0.3781300000000001,0.0
2802160,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2814003,0,0.6141300000000003,0.3858699999999997,0.0,0.0,0.6141300000000003,0.3858699999999997,0.0,0.0
2817543,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2824783,0,0.8412000000000002,0.0,0.15879999999999983,0.0,0.8412000000000002,0.0,0.15879999999999983,0.0
2825088,0,0.9773700000000001,0.0,0.022629999999999928,0.0,0.9773700000000001,0.0,0.022629999999999928,0.0
2830183,0,0.8804400000000001,0.11955999999999989,0.0,0.0,0.8804400000000001,0.11955999999999989,0.0,0.0
2831567,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2832460,0,0.7544399999999998,0.0,0.24556000000000022,0.0,0.7544399999999998,0.0,0.24556000000000022,0.0
2833073,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2838476,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2839858,0,0.8883599999999996,0.0,0.1116400000000004,0.0,0.8883599999999996,0.0,0.1116400000000004,0.0
2840219,0,0.8883599999999996,0.0,0.1116400000000004,0.0,0.8883599999999996,0.0,0.1116400000000004,0.0
2840553,0,0.8883599999999996,0.0,0.1116400000000004,0.0,0.8883599999999996,0.0,0.1116400000000004,0.0
2846764,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2847199,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2847603,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2848063,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2851738,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
