Antecedents,Consequent,Support
['(case) requestcomplete_True'],Label_0,0.98537
['(case) caseprocedure_None'],Label_0,0.93008
"['(case) requestcomplete_True', 'Time2_Long']",Label_0,0.94472
"['(case) requestcomplete_True', 'Duration_5_M']",Label_0,0.95663
"['(case) requestcomplete_True', 'Duration_8_M']",Label_0,0.93645
"['(case) requestcomplete_True', 'Duration_9_M']",Label_0,0.94185
"['(case) caseprocedure_None', 'Activity1_register submission date request']",Label_0,0.91545
"['(case) caseprocedure_None', 'Duration_6_M']",Label_0,0.90284
"['(case) requestcomplete_True', 'Duration_3_M']",Label_0,0.94766
"['(case) requestcomplete_True', 'Duration_4_M']",Label_0,0.96122
"['(case) caseprocedure_None', 'Time1_Short']",Label_0,0.93008
"['(case) requestcomplete_True', 'Duration_6_M']",Label_0,0.9565
"['Duration_6_M', 'Duration_9_M']",Label_0,0.92971
"['(case) caseprocedure_None', 'Duration_5_M']",Label_0,0.90515
"['(case) requestcomplete_True', 'Duration_7_M']",Label_0,0.94122
"['(case) caseprocedure_None', '(case) requestcomplete_True']",Label_0,0.91707
"['(case) caseprocedure_None', 'Duration_4_M']",Label_0,0.91549
"['(case) requestcomplete_True', 'Activity1_register submission date request']",Label_0,0.96585
"['(case) requestcomplete_True', 'Time1_Short']",Label_0,0.98374
"['(case) requestcomplete_True', 'Duration_4_M', 'Time1_Short']",Label_0,0.95959
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_8_M']",Label_0,0.9028
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Time1_Short']",Label_0,0.91545
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_5_M']",Label_0,0.93776
"['(case) caseprocedure_None', 'Duration_4_M', 'Time1_Short']",Label_0,0.91549
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_7_M']",Label_0,0.91626
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_7_M']",Label_0,0.90731
"['(case) requestcomplete_True', 'Duration_7_M', 'Duration_9_M']",Label_0,0.90131
"['(case) requestcomplete_True', 'Duration_5_M', 'Time1_Short']",Label_0,0.95501
"['Duration_3_M', 'Duration_6_M', 'Duration_9_M']",Label_0,0.90177
"['(case) requestcomplete_True', 'Duration_8_M', 'Duration_9_M']",Label_0,0.90066
"['(case) requestcomplete_True', 'Duration_6_M', 'Duration_7_M']",Label_0,0.91674
"['(case) requestcomplete_True', 'Duration_3_M', 'Time2_Long']",Label_0,0.93079
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Time1_Short']",Label_0,0.96585
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Activity1_register submission date request']",Label_0,0.90244
"['(case) requestcomplete_True', 'Duration_9_M', 'Time1_Short']",Label_0,0.94023
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_6_M']",Label_0,0.92993
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_5_M']",Label_0,0.93861
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_8_M']",Label_0,0.91857
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_9_M']",Label_0,0.92397
"['(case) requestcomplete_True', 'Duration_7_M', 'Duration_8_M']",Label_0,0.90024
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_7_M']",Label_0,0.91941
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_7_M']",Label_0,0.92334
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_6_M']",Label_0,0.93451
"['(case) requestcomplete_True', 'Duration_5_M', 'Time2_Long']",Label_0,0.91924
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_8_M']",Label_0,0.90772
"['(case) requestcomplete_True', 'Duration_6_M', 'Time1_Short']",Label_0,0.95487
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_9_M']",Label_0,0.91527
"['Activity1_register submission date request', 'Duration_6_M', 'Duration_8_M']",Label_0,0.9048
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Duration_4_M']",Label_0,0.90248
"['(case) requestcomplete_True', 'Duration_6_M', 'Time2_Long']",Label_0,0.91964
"['(case) requestcomplete_True', 'Duration_6_M', 'Duration_8_M']",Label_0,0.90805
"['(case) caseprocedure_None', 'Activity1_register submission date request', 'Duration_4_M']",Label_0,0.90086
"['(case) requestcomplete_True', 'Duration_6_M', 'Duration_9_M']",Label_0,0.91508
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_8_M']",Label_0,0.91241
"['(case) caseprocedure_None', 'Duration_5_M', 'Time1_Short']",Label_0,0.90515
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_4_M']",Label_0,0.94333
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_9_M']",Label_0,0.91013
"['Duration_4_M', 'Duration_6_M', 'Duration_8_M']",Label_0,0.9008
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_6_M']",Label_0,0.92305
"['(case) requestcomplete_True', 'Time1_Short', 'Time2_Long']",Label_0,0.94472
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Time2_Long']",Label_0,0.93171
"['Duration_5_M', 'Duration_6_M', 'Duration_7_M']",Label_0,0.9075
"['(case) requestcomplete_True', 'Duration_7_M', 'Time2_Long']",Label_0,0.90545
"['(case) requestcomplete_True', 'Duration_3_M', 'Time1_Short']",Label_0,0.94604
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_5_M']",Label_0,0.92508
"['Duration_5_M', 'Duration_6_M', 'Duration_9_M']",Label_0,0.90421
"['(case) requestcomplete_True', 'Duration_9_M', 'Time2_Long']",Label_0,0.90771
"['(case) requestcomplete_True', 'Duration_7_M', 'Time1_Short']",Label_0,0.9396
"['Duration_4_M', 'Duration_6_M', 'Duration_7_M']",Label_0,0.91173
"['(case) caseprocedure_None', 'Duration_6_M', 'Time1_Short']",Label_0,0.90284
"['Activity1_register submission date request', 'Duration_6_M', 'Duration_9_M']",Label_0,0.91183
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_3_M']",Label_0,0.93451
"['(case) requestcomplete_True', 'Duration_8_M', 'Time1_Short']",Label_0,0.93483
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_4_M']",Label_0,0.93069
"['Duration_4_M', 'Duration_6_M', 'Duration_9_M']",Label_0,0.91007
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_9_M']",Label_0,0.92004
"['Duration_6_M', 'Duration_9_M', 'Time1_Short']",Label_0,0.92809
