Antecedents,Consequent,Support
['Cumduration_5_M'],Label_1,0.91568
['Cumduration_3_M'],Label_1,0.91761
"['Activity1_register submission date request', 'Cumduration_5_M']",Label_1,0.91311
"['Cumduration_4_M', 'Time2_Long']",Label_1,0.92375
"['Cumduration_4_M', 'Duration_3_M']",Label_1,0.92642
"['Cumduration_5_M', 'Time2_Long']",Label_1,0.91152
"['Cumduration_3_M', 'Time1_Short']",Label_1,0.91761
"['Cumduration_5_M', 'Time1_Short']",Label_1,0.91568
"['Cumduration_3_M', 'Time2_Long']",Label_1,0.91276
"['Cumduration_4_M', 'Duration_5_M']",Label_1,0.9133
"['Cumduration_4_M', 'Duration_10_M']",Label_1,0.90593
"['Cumduration_4_M', 'Cumduration_5_M']",Label_1,0.90884
"['Cumduration_5_M', 'Duration_5_M']",Label_1,0.91116
"['Cumduration_5_M', 'Duration_3_M']",Label_1,0.9142
"['Cumduration_3_M', 'Duration_3_M']",Label_1,0.91543
"['Activity1_register submission date request', 'Cumduration_3_M']",Label_1,0.91761
"['Cumduration_5_M', 'Duration_4_M']",Label_1,0.9092
"['Cumduration_4_M', 'Duration_3_M', 'Time1_Short']",Label_1,0.92642
"['Cumduration_5_M', 'Duration_4_M', 'Time2_Long']",Label_1,0.9088
"['Activity1_register submission date request', 'Cumduration_5_M', 'Duration_5_M']",Label_1,0.90858
"['Cumduration_5_M', 'Duration_4_M', 'Duration_5_M']",Label_1,0.90467
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_10_M']",Label_1,0.90451
"['Activity1_register submission date request', 'Cumduration_5_M', 'Duration_4_M']",Label_1,0.90662
"['Cumduration_5_M', 'Duration_5_M', 'Time1_Short']",Label_1,0.91116
"['Cumduration_5_M', 'Duration_3_M', 'Time1_Short']",Label_1,0.9142
"['Cumduration_4_M', 'Cumduration_5_M', 'Duration_5_M']",Label_1,0.90539
"['Cumduration_4_M', 'Cumduration_5_M', 'Duration_3_M']",Label_1,0.90794
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_3_M']",Label_1,0.92501
"['Activity1_register submission date request', 'Cumduration_3_M', 'Time2_Long']",Label_1,0.91276
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_5_M']",Label_1,0.91188
"['Cumduration_5_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.9092
"['Cumduration_5_M', 'Duration_3_M', 'Time2_Long']",Label_1,0.91152
"['Cumduration_4_M', 'Duration_3_M', 'Time2_Long']",Label_1,0.92375
"['Cumduration_4_M', 'Duration_5_M', 'Time2_Long']",Label_1,0.90972
"['Activity1_register submission date request', 'Cumduration_4_M', 'Cumduration_5_M']",Label_1,0.90743
"['Cumduration_3_M', 'Duration_3_M', 'Time2_Long']",Label_1,0.91276
"['Cumduration_4_M', 'Duration_5_M', 'Time1_Short']",Label_1,0.9133
"['Cumduration_3_M', 'Time1_Short', 'Time2_Long']",Label_1,0.91276
"['Cumduration_4_M', 'Cumduration_5_M', 'Time2_Long']",Label_1,0.90526
"['Activity1_register submission date request', 'Cumduration_3_M', 'Duration_3_M']",Label_1,0.91543
"['Cumduration_4_M', 'Duration_10_M', 'Duration_3_M']",Label_1,0.90502
"['Activity1_register submission date request', 'Cumduration_5_M', 'Duration_3_M']",Label_1,0.91162
"['Cumduration_4_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.91701
"['Cumduration_5_M', 'Time1_Short', 'Time2_Long']",Label_1,0.91152
"['Cumduration_5_M', 'Duration_4_M', 'Time1_Short']",Label_1,0.9092
"['Activity1_register submission date request', 'Cumduration_5_M', 'Time1_Short']",Label_1,0.91311
"['Cumduration_4_M', 'Duration_10_M', 'Time1_Short']",Label_1,0.90593
"['Activity1_register submission date request', 'Cumduration_3_M', 'Time1_Short']",Label_1,0.91761
"['Cumduration_5_M', 'Duration_3_M', 'Duration_5_M']",Label_1,0.90967
"['Cumduration_4_M', 'Duration_3_M', 'Duration_5_M']",Label_1,0.91239
"['Activity1_register submission date request', 'Cumduration_5_M', 'Time2_Long']",Label_1,0.90894
"['Cumduration_3_M', 'Duration_3_M', 'Time1_Short']",Label_1,0.91543
"['Cumduration_4_M', 'Time1_Short', 'Time2_Long']",Label_1,0.92375
"['Duration_10_M', 'Duration_5_M', 'Duration_7_M']",Label_1,0.90034
"['Cumduration_4_M', 'Cumduration_5_M', 'Time1_Short']",Label_1,0.90884
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_4_M']",Label_1,0.91559
"['Cumduration_4_M', 'Cumduration_5_M', 'Duration_4_M']",Label_1,0.90474
"['Cumduration_4_M', 'Duration_4_M', 'Time2_Long']",Label_1,0.9166
"['Cumduration_4_M', 'Duration_10_M', 'Time2_Long']",Label_1,0.90235
"['Activity1_register submission date request', 'Cumduration_4_M', 'Time2_Long']",Label_1,0.92233
"['Cumduration_4_M', 'Duration_4_M', 'Duration_5_M']",Label_1,0.9092
"['Cumduration_5_M', 'Duration_5_M', 'Time2_Long']",Label_1,0.90699
"['Cumduration_5_M', 'Duration_5_M', 'Time1_Short', 'Time2_Long']",Label_1,0.90699
"['Activity1_register submission date request', 'Cumduration_5_M', 'Duration_5_M', 'Time2_Long']",Label_1,0.90442
"['Activity1_register submission date request', 'Cumduration_4_M', 'Cumduration_5_M', 'Time1_Short']",Label_1,0.90743
"['Activity1_register submission date request', 'Cumduration_5_M', 'Duration_4_M', 'Duration_5_M']",Label_1,0.9021
"['Cumduration_4_M', 'Cumduration_5_M', 'Duration_5_M', 'Time1_Short']",Label_1,0.90539
"['Cumduration_4_M', 'Duration_5_M', 'Time1_Short', 'Time2_Long']",Label_1,0.90972
"['Cumduration_4_M', 'Cumduration_5_M', 'Duration_4_M', 'Duration_5_M']",Label_1,0.90129
"['Duration_3_M', 'Duration_5_M', 'Duration_6_M', 'Time2_Long']",Label_1,0.92582
"['Activity1_register submission date request', 'Cumduration_3_M', 'Duration_3_M', 'Time1_Short']",Label_1,0.91543
"['Activity1_register submission date request', 'Cumduration_4_M', 'Cumduration_5_M', 'Time2_Long']",Label_1,0.90385
"['Activity1_register submission date request', 'Cumduration_3_M', 'Time1_Short', 'Time2_Long']",Label_1,0.91276
"['Activity1_register submission date request', 'Duration_10_M', 'Duration_3_M', 'Duration_5_M']",Label_1,0.93877
"['Duration_4_M', 'Duration_5_M', 'Duration_6_M', 'Time2_Long']",Label_1,0.91036
"['Activity1_register submission date request', 'Duration_5_M', 'Duration_7_M', 'Time2_Long']",Label_1,0.90519
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_4_M', 'Time1_Short']",Label_1,0.91559
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_4_M', 'Time2_Long']",Label_1,0.91519
"['Duration_10_M', 'Duration_3_M', 'Duration_5_M', 'Duration_7_M']",Label_1,0.90031
"['Activity1_register submission date request', 'Cumduration_5_M', 'Duration_4_M', 'Time1_Short']",Label_1,0.90662
"['Activity1_register submission date request', 'Duration_5_M', 'Duration_6_M', 'Time2_Long']",Label_1,0.91614
"['Activity1_register submission date request', 'Duration_10_M', 'Duration_3_M', 'Duration_7_M']",Label_1,0.91399
"['Duration_10_M', 'Duration_3_M', 'Duration_4_M', 'Duration_6_M']",Label_1,0.9006
"['Cumduration_4_M', 'Cumduration_5_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.90474
"['Cumduration_4_M', 'Cumduration_5_M', 'Duration_4_M', 'Time2_Long']",Label_1,0.90434
"['Cumduration_4_M', 'Duration_3_M', 'Duration_5_M', 'Time1_Short']",Label_1,0.91239
"['Cumduration_4_M', 'Cumduration_5_M', 'Duration_4_M', 'Time1_Short']",Label_1,0.90474
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_10_M', 'Duration_3_M']",Label_1,0.90361
"['Activity1_register submission date request', 'Cumduration_5_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.90662
"['Activity1_register submission date request', 'Cumduration_5_M', 'Duration_4_M', 'Time2_Long']",Label_1,0.90622
"['Duration_10_M', 'Duration_4_M', 'Duration_5_M', 'Time2_Long']",Label_1,0.92643
"['Activity1_register submission date request', 'Cumduration_4_M', 'Time1_Short', 'Time2_Long']",Label_1,0.92233
"['Cumduration_5_M', 'Duration_4_M', 'Time1_Short', 'Time2_Long']",Label_1,0.9088
"['Activity1_register submission date request', 'Duration_3_M', 'Duration_5_M', 'Duration_7_M']",Label_1,0.90519
"['Activity1_register submission date request', 'Cumduration_3_M', 'Duration_3_M', 'Time2_Long']",Label_1,0.91276
