Antecedents,Consequent,Support
['Cumduration_5_M'],Label_1,0.90373
['Cumduration_3_M'],Label_1,0.90662
"['Activity1_register submission date request', 'Cumduration_5_M']",Label_1,0.90097
"['Cumduration_4_M', 'Time2_Long']",Label_1,0.91568
"['Cumduration_3_M', 'Time1_Short']",Label_1,0.90662
"['Cumduration_5_M', 'Time1_Short']",Label_1,0.90373
"['Cumduration_4_M', 'Duration_5_M']",Label_1,0.90169
"['Activity1_register submission date request', 'Cumduration_3_M']",Label_1,0.90662
"['Cumduration_5_M', 'Duration_4_M']",Label_1,0.90168
"['Duration_10_M', 'Duration_3_M', 'Duration_7_M']",Label_1,0.92057
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_3_M']",Label_1,0.91728
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_5_M']",Label_1,0.90018
"['Cumduration_4_M', 'Duration_3_M', 'Time2_Long']",Label_1,0.91359
"['Cumduration_4_M', 'Duration_5_M', 'Time1_Short']",Label_1,0.90169
"['Duration_10_M', 'Duration_7_M', 'Time2_Long']",Label_1,0.91881
"['Cumduration_4_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.91007
"['Cumduration_5_M', 'Duration_4_M', 'Time1_Short']",Label_1,0.90168
"['Activity1_register submission date request', 'Cumduration_5_M', 'Time1_Short']",Label_1,0.90097
"['Activity1_register submission date request', 'Cumduration_3_M', 'Time1_Short']",Label_1,0.90662
"['Cumduration_4_M', 'Time1_Short', 'Time2_Long']",Label_1,0.91568
"['Duration_7_M', 'Duration_9_M', 'Time2_Long']",Label_1,0.90055
"['Cumduration_4_M', 'Duration_4_M', 'Time2_Long']",Label_1,0.90901
"['Activity1_register submission date request', 'Cumduration_4_M', 'Time2_Long']",Label_1,0.91416
"['Duration_10_M', 'Duration_7_M', 'Duration_9_M', 'Time1_Short']",Label_1,0.90613
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_4_M', 'Time2_Long']",Label_1,0.90749
"['Activity1_register submission date request', 'Duration_10_M', 'Duration_3_M', 'Duration_7_M']",Label_1,0.91536
"['Duration_10_M', 'Duration_4_M', 'Duration_5_M', 'Time2_Long']",Label_1,0.90311
"['Activity1_register submission date request', 'Cumduration_4_M', 'Time1_Short', 'Time2_Long']",Label_1,0.91416
"['Activity1_register submission date request', 'Duration_3_M', 'Duration_5_M', 'Duration_7_M']",Label_1,0.90456
"['Activity1_register submission date request', 'Duration_10_M', 'Duration_5_M', 'Time2_Long']",Label_1,0.91061
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_5_M', 'Time1_Short']",Label_1,0.90018
"['Cumduration_4_M', 'Duration_3_M', 'Time1_Short', 'Time2_Long']",Label_1,0.91359
"['Activity1_register submission date request', 'Duration_10_M', 'Duration_7_M', 'Time2_Long']",Label_1,0.91361
"['Activity1_register submission date request', 'Duration_10_M', 'Duration_4_M', 'Duration_7_M']",Label_1,0.9015
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_3_M', 'Time2_Long']",Label_1,0.91207
"['Cumduration_4_M', 'Duration_3_M', 'Duration_4_M', 'Time1_Short']",Label_1,0.91007
"['Cumduration_4_M', 'Duration_3_M', 'Duration_4_M', 'Time2_Long']",Label_1,0.90692
"['Duration_3_M', 'Duration_5_M', 'Duration_7_M', 'Time2_Long']",Label_1,0.90456
"['Activity1_register submission date request', 'Duration_10_M', 'Duration_9_M', 'Time2_Long']",Label_1,0.91939
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_3_M', 'Time1_Short']",Label_1,0.91728
"['Activity1_register submission date request', 'Cumduration_4_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.90855
