Antecedents,Consequent,Support
['(case) requestcomplete_True'],Label_0,0.98843
"['(case) requestcomplete_True', 'Time2_Long']",Label_0,0.96033
"['(case) requestcomplete_True', 'Duration_5_M']",Label_0,0.95478
"['(case) requestcomplete_True', 'Duration_8_M']",Label_0,0.94857
"['(case) requestcomplete_True', 'Duration_9_M']",Label_0,0.94811
"['Duration_6_M', 'Duration_8_M']",Label_0,0.92564
"['(case) requestcomplete_True', 'Duration_3_M']",Label_0,0.96063
"['(case) requestcomplete_True', 'Duration_10_M']",Label_0,0.95313
"['(case) requestcomplete_True', 'Duration_4_M']",Label_0,0.96488
"['(case) requestcomplete_True', 'Duration_6_M']",Label_0,0.95393
"['(case) requestcomplete_True', 'Duration_7_M']",Label_0,0.95261
"['Duration_7_M', 'Duration_8_M']",Label_0,0.92781
"['(case) requestcomplete_True', 'Activity1_register submission date request']",Label_0,0.97355
"['(case) requestcomplete_True', 'Time1_Short']",Label_0,0.98843
"['(case) requestcomplete_True', 'Duration_4_M', 'Time1_Short']",Label_0,0.96488
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_8_M']",Label_0,0.92321
"['Duration_4_M', 'Duration_8_M', 'Duration_9_M']",Label_0,0.90414
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_5_M']",Label_0,0.9399
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_7_M']",Label_0,0.9206
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_7_M']",Label_0,0.9259
"['(case) requestcomplete_True', 'Duration_7_M', 'Duration_9_M']",Label_0,0.91394
"['(case) requestcomplete_True', 'Duration_5_M', 'Time1_Short']",Label_0,0.95478
"['(case) requestcomplete_True', 'Duration_8_M', 'Time2_Long']",Label_0,0.92126
"['(case) requestcomplete_True', 'Duration_8_M', 'Duration_9_M']",Label_0,0.91767
"['(case) requestcomplete_True', 'Duration_6_M', 'Duration_7_M']",Label_0,0.92261
"['(case) requestcomplete_True', 'Duration_3_M', 'Time2_Long']",Label_0,0.94785
"['Duration_7_M', 'Duration_8_M', 'Time2_Long']",Label_0,0.90215
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Time1_Short']",Label_0,0.97355
"['Activity1_register submission date request', 'Duration_7_M', 'Duration_8_M']",Label_0,0.91459
"['(case) requestcomplete_True', 'Duration_9_M', 'Time1_Short']",Label_0,0.94811
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_5_M']",Label_0,0.91948
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_6_M']",Label_0,0.92523
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_3_M']",Label_0,0.92876
"['Duration_10_M', 'Duration_6_M', 'Duration_9_M']",Label_0,0.90517
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_5_M']",Label_0,0.9355
"['Duration_10_M', 'Duration_4_M', 'Duration_8_M']",Label_0,0.9016
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_8_M']",Label_0,0.93535
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_9_M']",Label_0,0.93489
"['(case) requestcomplete_True', 'Duration_7_M', 'Duration_8_M']",Label_0,0.91789
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_7_M']",Label_0,0.91807
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_7_M']",Label_0,0.93071
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_7_M']",Label_0,0.93774
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_6_M']",Label_0,0.92028
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_6_M']",Label_0,0.93092
"['(case) requestcomplete_True', 'Duration_5_M', 'Time2_Long']",Label_0,0.92833
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_8_M']",Label_0,0.91545
"['(case) requestcomplete_True', 'Duration_6_M', 'Time1_Short']",Label_0,0.95393
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_9_M']",Label_0,0.915
"['Duration_10_M', 'Duration_6_M', 'Duration_7_M']",Label_0,0.9013
"['Activity1_register submission date request', 'Duration_4_M', 'Duration_8_M']",Label_0,0.92182
"['Duration_4_M', 'Duration_7_M', 'Duration_9_M']",Label_0,0.90196
"['Activity1_register submission date request', 'Duration_6_M', 'Duration_8_M']",Label_0,0.91242
"['Duration_4_M', 'Duration_7_M', 'Duration_8_M']",Label_0,0.90437
"['(case) requestcomplete_True', 'Duration_6_M', 'Time2_Long']",Label_0,0.92637
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_8_M']",Label_0,0.91678
"['(case) requestcomplete_True', 'Duration_6_M', 'Duration_8_M']",Label_0,0.91573
"['(case) requestcomplete_True', 'Duration_6_M', 'Duration_9_M']",Label_0,0.91573
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_8_M']",Label_0,0.92513
"['(case) requestcomplete_True', 'Duration_10_M', 'Time2_Long']",Label_0,0.92681
"['Duration_4_M', 'Duration_5_M', 'Duration_8_M']",Label_0,0.90454
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_4_M']",Label_0,0.92957
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_10_M']",Label_0,0.93825
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_4_M']",Label_0,0.95166
"['Duration_10_M', 'Duration_4_M', 'Duration_7_M']",Label_0,0.90609
"['(case) requestcomplete_True', 'Duration_10_M', 'Time1_Short']",Label_0,0.95313
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_9_M']",Label_0,0.92526
"['Duration_4_M', 'Duration_6_M', 'Duration_8_M']",Label_0,0.90109
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_6_M']",Label_0,0.92714
"['(case) requestcomplete_True', 'Time1_Short', 'Time2_Long']",Label_0,0.96033
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Time2_Long']",Label_0,0.94876
"['Duration_5_M', 'Duration_6_M', 'Duration_7_M']",Label_0,0.90602
"['Duration_4_M', 'Duration_5_M', 'Duration_7_M']",Label_0,0.91235
"['(case) requestcomplete_True', 'Duration_7_M', 'Time2_Long']",Label_0,0.92782
"['(case) requestcomplete_True', 'Duration_3_M', 'Time1_Short']",Label_0,0.96063
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_5_M']",Label_0,0.92992
"['(case) requestcomplete_True', 'Duration_9_M', 'Time2_Long']",Label_0,0.92166
"['(case) requestcomplete_True', 'Duration_7_M', 'Time1_Short']",Label_0,0.95261
"['Duration_4_M', 'Duration_6_M', 'Duration_7_M']",Label_0,0.91117
"['Duration_10_M', 'Duration_7_M', 'Duration_9_M']",Label_0,0.90249
"['Activity1_register submission date request', 'Duration_6_M', 'Duration_9_M']",Label_0,0.91408
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_3_M']",Label_0,0.95221
"['(case) requestcomplete_True', 'Duration_8_M', 'Time1_Short']",Label_0,0.94857
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_4_M']",Label_0,0.94218
"['Duration_4_M', 'Duration_6_M', 'Duration_9_M']",Label_0,0.90429
"['Activity1_register submission date request', 'Duration_7_M', 'Duration_9_M']",Label_0,0.91229
"['(case) requestcomplete_True', 'Duration_4_M', 'Duration_9_M']",Label_0,0.92621
"['Duration_6_M', 'Duration_8_M', 'Time1_Short']",Label_0,0.92564
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_9_M']",Label_0,0.92433
"['(case) requestcomplete_True', 'Duration_4_M', 'Time2_Long']",Label_0,0.93854
"['Duration_7_M', 'Duration_8_M', 'Time1_Short']",Label_0,0.92781
"['Duration_3_M', 'Duration_7_M', 'Duration_8_M']",Label_0,0.90189
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_6_M']",Label_0,0.93952
"['(case) requestcomplete_True', 'Duration_7_M', 'Duration_8_M', 'Time1_Short']",Label_0,0.91789
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_4_M', 'Duration_7_M']",Label_0,0.90911
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_3_M', 'Duration_6_M']",Label_0,0.91872
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_4_M', 'Time1_Short']",Label_0,0.95166
"['(case) requestcomplete_True', 'Duration_8_M', 'Duration_9_M', 'Time1_Short']",Label_0,0.91767
"['(case) requestcomplete_True', 'Duration_3_M', 'Duration_5_M', 'Duration_6_M']",Label_0,0.90084
"['(case) requestcomplete_True', 'Duration_5_M', 'Time1_Short', 'Time2_Long']",Label_0,0.92833
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_3_M', 'Time1_Short']",Label_0,0.92876
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_7_M', 'Duration_8_M']",Label_0,0.90467
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_3_M', 'Duration_9_M']",Label_0,0.91685
"['Activity1_register submission date request', 'Duration_6_M', 'Duration_8_M', 'Time1_Short']",Label_0,0.91242
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_8_M', 'Time1_Short']",Label_0,0.93535
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_10_M', 'Duration_6_M']",Label_0,0.90587
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_3_M', 'Time1_Short']",Label_0,0.95221
"['(case) requestcomplete_True', 'Duration_6_M', 'Duration_9_M', 'Time1_Short']",Label_0,0.91573
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_4_M', 'Duration_5_M']",Label_0,0.92227
"['(case) requestcomplete_True', 'Duration_9_M', 'Time1_Short', 'Time2_Long']",Label_0,0.92166
"['Duration_4_M', 'Duration_5_M', 'Duration_8_M', 'Time1_Short']",Label_0,0.90454
"['(case) requestcomplete_True', 'Duration_10_M', 'Duration_4_M', 'Time1_Short']",Label_0,0.92957
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_10_M', 'Duration_7_M']",Label_0,0.90319
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_7_M', 'Time1_Short']",Label_0,0.9206
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_10_M', 'Duration_9_M']",Label_0,0.9111
