Antecedents,Consequent,Support
['(case) requestcomplete_True'],Label_0,0.98208
"['(case) requestcomplete_True', 'Duration_3_M']",Label_0,0.95175
"['(case) caseprocedure_None', '(case) requestcomplete_True']",Label_0,0.92671
"['(case) requestcomplete_True', 'Cumduration_6_M']",Label_0,0.85545
"['(case) caseprocedure_None', 'Cumduration_6_M']",Label_0,0.82213
"['(case) requestcomplete_True', 'Cumduration_3_M']",Label_0,0.85643
"['(case) requestcomplete_True', 'Cumduration_2_M']",Label_0,0.83759
"['(case) requestcomplete_True', 'Duration_5_M']",Label_0,0.95342
"['(case) requestcomplete_True', 'Cumduration_7_M']",Label_0,0.80758
"['(case) requestcomplete_True', 'Cumduration_5_M']",Label_0,0.87574
"['(case) requestcomplete_True', 'Duration_6_M']",Label_0,0.95288
"['(case) requestcomplete_True', 'Duration_4_M']",Label_0,0.95867
"['(case) requestcomplete_True', 'Activity1_register submission date request']",Label_0,0.96254
"['(case) caseprocedure_None', 'Cumduration_7_M']",Label_0,0.77928
"['(case) requestcomplete_True', 'Duration_2_M']",Label_0,0.83759
"['(case) requestcomplete_True', 'Cumduration_4_M']",Label_0,0.89167
"['(case) requestcomplete_True', 'Duration_7_M']",Label_0,0.93713
"['(case) caseprocedure_None', 'Cumduration_7_M', 'Duration_2_M']",Label_0,0.72821
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_6_M']",Label_0,0.92801
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Cumduration_5_M']",Label_0,0.82934
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Duration_5_M']",Label_0,0.9013
"['(case) requestcomplete_True', 'Duration_2_M', 'Duration_5_M']",Label_0,0.8147
"['(case) caseprocedure_None', '(case) requestcomplete_True', 'Cumduration_2_M']",Label_0,0.79271
"['(case) caseprocedure_None', 'Cumduration_2_M', 'Duration_4_M']",Label_0,0.78975
"['(case) requestcomplete_True', 'Cumduration_5_M', 'Duration_2_M']",Label_0,0.8047
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Duration_6_M']",Label_0,0.86665
"['(case) requestcomplete_True', 'Duration_5_M', 'Duration_7_M']",Label_0,0.90899
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_6_M']",Label_0,0.9338
"['(case) caseprocedure_None', 'Cumduration_2_M', 'Duration_6_M']",Label_0,0.78421
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Duration_7_M']",Label_0,0.91921
"['(case) caseprocedure_None', 'Cumduration_2_M', 'Duration_7_M']",Label_0,0.77328
"['(case) requestcomplete_True', 'Duration_2_M', 'Duration_6_M']",Label_0,0.81684
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_3_M']",Label_0,0.84897
"['(case) requestcomplete_True', 'Cumduration_3_M', 'Duration_4_M']",Label_0,0.84115
"['(case) caseprocedure_None', 'Cumduration_6_M', 'Duration_7_M']",Label_0,0.78902
"['(case) requestcomplete_True', 'Cumduration_6_M', 'Duration_2_M']",Label_0,0.79025
"['(case) caseprocedure_None', 'Cumduration_6_M', 'Duration_2_M']",Label_0,0.76197
"['(case) requestcomplete_True', 'Cumduration_2_M', 'Duration_7_M']",Label_0,0.80208
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Duration_7_M']",Label_0,0.85002
"['(case) requestcomplete_True', 'Activity1_register submission date request', 'Cumduration_6_M']",Label_0,0.84708
"['(case) caseprocedure_None', 'Cumduration_7_M', 'Duration_6_M']",Label_0,0.771
"['(case) requestcomplete_True', 'Cumduration_4_M', 'Cumduration_7_M']",Label_0,0.79288
